y_train,y_predicted_train
0.1298,0.10371272153541755
0.319,0.3406304752196391
0.345380443,0.33478683971544265
0.273370577,0.2832485222417672
0.186964618,0.17684779041428056
0.17747177,0.16380989149901415
0.1208,0.14735329579754286
0.137057728,0.12257340198680955
0.56017445,0.5592885306401841
0.496028082,0.4429502456681179
0.704329897,0.6942522427150583
1.561752323,1.5283795785118182
0.600412371,0.6171057463876329
0.216323305,0.22640448732981644
0.349,0.3594752602763832
0.41370918,0.4238212464142487
0.663,0.6529358839216161
0.819381443,0.8297771066872771
0.520599251,0.5308785017830185
0.783546431,0.7932990417651683
0.0764,0.08666915345143311
0.058980714,0.051988916930239326
0.1298,0.14140022791218676
0.0021,0.01252415325416123
0.110242086,0.12847432980172557
0.276340104,0.2864223480744327
0.216014898,0.20614496371590574
0.165363128,0.15558188138148654
0.594831988,0.5847081541653493
0.557502393,0.5674566989363438
0.086405959,0.10718681856505075
1.520830815,1.5959186247423673
0.10351251,0.11330909881161444
0.084644508,0.08038021027763109
0.0012,0.006333268108405288
0.089169518,0.15456543358983266
0.25067962,0.2608147649440665
0.2386,0.2642920742954181
1.462774612,1.5471603865955301
0.002,0.006463644210746078
0.1228,0.11309989163471601
0.182495345,0.17010382422815373
0.262003732,0.2519414294780219
0.0741,0.07565291039008948
0.102357259,0.11243379242257345
0.178026071,0.16788564317785315
0.476,0.450668442393379
0.581887033,0.4600991497824499
0.240595903,0.25096097593773814
0.141606015,0.17971898345724424
0.375725987,0.3859812508483532
0.685773196,0.6761425818595733
0.143873485,0.15425666589468745
0.608148069,0.6183621657297776
0.492509363,0.4086040270974477
0.517719392,0.4142505522969663
0.596353579,0.5015929822633763
1.722726569,1.7128973843409967
1.534674411,1.5247661873312435
0.367,0.35711704757615614
0.203496373,0.18911398168100868
0.0023,0.04425049894950528
0.068394854,0.0584224605531144
0.3,0.2899392675770437
